,trans_hour,trans_day,trans_month,trans_year,category,card_number,age,trans_amount,state,zip,fraud_risk
116,14,1,7,2019,7,3530000000000000.0,28,49.71,22,49826,0
117,14,1,7,2019,11,6010000000000000.0,37,102.05,47,99323,0
118,14,1,7,2019,6,4340000000000000.0,25,53.12,34,13811,0
119,15,1,7,2019,1,30200000000000.0,45,64.05,38,17850,0
120,15,1,7,2019,10,4470000000000000.0,91,6.06,4,93529,0
121,15,1,7,2019,5,6010000000000000.0,38,15.0,1,35229,0
122,19,1,7,2019,1,38300000000000.0,36,13.02,43,79539,0
123,20,1,7,2019,10,213000000000000.0,59,43.46,15,46366,0
124,20,1,7,2019,6,4.4e+18,38,10.74,29,68859,0
125,21,1,7,2019,7,38600000000000.0,51,82.45,28,58765,0
126,22,1,7,2019,11,3600000000000000.0,62,967.92,2,71832,1
127,23,1,7,2019,4,3600000000000000.0,62,270.01,2,71832,1
128,23,1,7,2019,4,3600000000000000.0,62,289.69,2,71832,1
129,0,1,8,2019,4,4810000000000.0,17,311.83,35,45638,1
130,0,1,8,2019,4,4810000000000.0,17,283.19,35,45638,1
131,0,1,8,2019,2,676000000000.0,32,51.48,16,66941,0
132,1,1,8,2019,2,342000000000000.0,20,15.82,45,23106,1
133,1,1,8,2019,4,3600000000000000.0,62,296.32,2,71832,1
134,1,1,8,2019,4,342000000000000.0,20,334.28,45,23106,1
135,1,1,8,2019,11,4010000000000.0,51,5.14,17,42634,0
136,1,1,8,2019,9,4860000000000000.0,29,664.73,34,13755,1
137,2,1,8,2019,2,3600000000000000.0,62,8.79,2,71832,1
138,2,1,8,2019,4,3600000000000000.0,62,301.55,2,71832,1
139,2,1,8,2019,4,342000000000000.0,20,327.26,45,23106,1
140,3,1,8,2019,11,4860000000000000.0,29,1127.56,34,13755,1
141,3,1,8,2019,4,4810000000000.0,17,276.41,35,45638,1
142,3,1,8,2019,8,4860000000000000.0,29,722.92,34,13755,1
143,3,1,8,2019,3,30000000000000.0,33,43.87,9,33967,0
144,4,1,8,2019,2,342000000000000.0,20,8.33,45,23106,1
145,4,1,8,2019,11,568000000000.0,28,82.92,28,58015,0
146,4,1,8,2019,4,4860000000000000.0,29,333.09,34,13755,1
147,7,1,8,2019,11,30300000000000.0,65,29.48,24,64630,0
148,8,1,8,2019,2,60416207185.0,33,64.31,50,82514,0
149,8,1,8,2019,3,3580000000000000.0,18,16.34,25,38677,0
150,8,1,8,2019,11,3600000000000000.0,49,5.72,35,44857,0
151,8,1,8,2019,4,6010000000000000.0,45,81.91,50,82063,0
152,9,1,8,2019,4,3560000000000000.0,62,128.34,3,86018,0
153,10,1,8,2019,8,4010000000000000.0,35,2.84,43,77026,0
154,11,1,8,2019,4,4810000000000.0,17,291.51,35,45638,1
155,12,1,8,2019,13,4000000000000000.0,29,3.91,1,35022,0
156,14,1,8,2019,10,3530000000000000.0,67,7.75,29,68463,0
157,16,1,8,2019,0,4860000000000000.0,29,564.57,34,13755,1
158,16,1,8,2019,7,3520000000000000.0,48,15.16,43,75092,0
159,19,1,8,2019,12,4640000000000.0,29,7.81,12,51632,0
160,22,1,8,2019,12,4860000000000000.0,29,929.28,34,13755,1
161,22,1,8,2019,8,342000000000000.0,20,848.32,45,23106,1
162,22,1,8,2019,11,3600000000000000.0,62,1003.72,2,71832,1
163,22,1,8,2019,5,4360000000000000.0,21,93.03,33,89512,0
164,22,1,8,2019,6,4840000000000000.0,39,85.17,22,49854,0
165,22,1,8,2019,11,4810000000000.0,17,1131.66,35,45638,1
166,22,1,8,2019,11,4810000000000.0,17,959.59,35,45638,1
167,23,1,8,2019,0,3600000000000000.0,62,388.02,2,71832,1
168,23,1,8,2019,11,4810000000000.0,17,1050.01,35,45638,1
169,23,1,8,2019,11,4810000000000.0,17,996.93,35,45638,1
170,23,1,8,2019,12,342000000000000.0,20,1030.43,45,23106,1
171,23,1,8,2019,11,4810000000000.0,17,937.47,35,45638,1
172,0,1,9,2019,8,4810000000000.0,17,623.43,35,45638,1
173,0,1,9,2019,4,4860000000000000.0,29,346.69,34,13755,1
174,1,1,9,2019,4,6530000000000000.0,68,337.06,9,34120,1
175,1,1,9,2019,2,3510000000000000.0,64,18.86,41,57340,1
176,2,1,9,2019,11,4860000000000000.0,29,847.72,34,13755,1
177,2,1,9,2019,8,4810000000000.0,17,897.67,35,45638,1
178,2,1,9,2019,4,6530000000000000.0,68,305.6,9,34120,1
179,3,1,9,2019,4,6530000000000000.0,68,301.33,9,34120,1
180,4,1,9,2019,8,4860000000000000.0,29,701.88,34,13755,1
181,7,1,9,2019,8,4.91e+18,32,144.29,9,33040,0
182,10,1,9,2019,4,6530000000000000.0,68,303.14,9,34120,1
183,15,1,9,2019,8,4810000000000.0,17,749.94,35,45638,1
184,15,1,9,2019,11,3510000000000000.0,64,1006.34,41,57340,1
185,15,1,9,2019,12,3600000000000000.0,26,32.83,42,38060,0
186,22,1,9,2019,12,342000000000000.0,20,1104.38,45,23106,1
187,22,1,9,2019,11,6530000000000000.0,68,1044.81,9,34120,1
188,22,1,9,2019,11,342000000000000.0,20,937.57,45,23106,1
189,22,1,9,2019,11,342000000000000.0,20,918.69,45,23106,1
190,22,1,9,2019,13,342000000000000.0,20,10.53,45,23106,1
191,22,1,9,2019,8,6530000000000000.0,68,835.36,9,34120,1
192,22,1,9,2019,1,4860000000000000.0,29,95.94,34,13755,1
193,22,1,9,2019,13,4810000000000.0,17,9.91,35,45638,1
194,23,1,9,2019,12,342000000000000.0,20,1148.15,45,23106,1
195,23,1,9,2019,12,6530000000000000.0,68,945.56,9,34120,1
196,23,1,9,2019,7,4860000000000000.0,29,18.24,34,13755,1
197,0,1,10,2019,2,2240000000000000.0,22,58.29,17,40077,0
198,0,1,10,2019,4,6530000000000000.0,68,325.38,9,34120,1
199,2,1,10,2019,2,6530000000000000.0,68,8.45,9,34120,1
200,3,1,10,2019,4,3510000000000000.0,64,311.47,41,57340,1
201,7,1,10,2019,8,3580000000000000.0,37,103.84,3,85020,0
202,12,1,10,2019,6,4450000000000000.0,41,33.9,43,76626,0
203,16,1,10,2019,6,3550000000000000.0,35,94.37,9,32044,0
204,18,1,10,2019,7,6010000000000000.0,50,46.54,10,30257,0
205,18,1,10,2019,5,376000000000000.0,56,26.63,45,22853,0
206,22,1,10,2019,11,6530000000000000.0,68,1161.58,9,34120,1
207,22,1,10,2019,8,6530000000000000.0,68,685.63,9,34120,1
208,23,1,10,2019,4,3510000000000000.0,64,344.01,41,57340,1
209,23,1,10,2019,12,4650000000000000.0,20,4.57,17,42171,0
210,0,1,11,2019,8,4590000000000000.0,42,831.16,21,4555,1
211,0,1,11,2019,4,2350000000000000.0,73,299.98,38,16421,1
212,1,1,11,2019,4,4590000000000000.0,42,353.06,21,4555,1
213,1,1,11,2019,12,4590000000000000.0,42,846.52,21,4555,1
214,2,1,11,2019,4,4590000000000000.0,42,334.85,21,4555,1
215,2,1,11,2019,2,2350000000000000.0,73,8.18,38,16421,1
216,3,1,11,2019,11,4590000000000000.0,42,1008.39,21,4555,1
217,3,1,11,2019,2,4590000000000000.0,42,9.15,21,4555,1
218,4,1,11,2019,12,4990000000000.0,58,5.25,20,21524,0
219,5,1,11,2019,9,4800000000000000.0,91,327.36,29,68641,0
220,5,1,11,2019,2,4920000000000000.0,78,49.59,38,15665,0
221,5,1,11,2019,2,5460000000000000.0,65,48.56,38,16048,0
222,6,1,11,2019,2,213000000000000.0,21,58.66,48,54487,0
223,7,1,11,2019,4,4.22e+18,45,115.24,35,45051,0
224,7,1,11,2019,2,2350000000000000.0,73,11.48,38,16421,1
225,7,1,11,2019,9,4590000000000000.0,42,830.58,21,4555,1
226,8,1,11,2019,4,378000000000000.0,37,95.71,45,22719,0
227,14,1,11,2019,0,3600000000000000.0,26,6.32,27,28314,0
228,15,1,11,2019,5,4590000000000000.0,42,21.13,21,4555,1
229,16,1,11,2019,1,213000000000000.0,34,89.53,25,39073,0
230,16,1,11,2019,13,3600000000000000.0,26,5.21,27,28314,0
231,18,1,11,2019,7,581000000000.0,30,60.32,36,73754,0
232,19,1,11,2019,5,4590000000000000.0,42,19.51,21,4555,1
233,22,1,11,2019,11,2350000000000000.0,73,992.1,38,16421,1
234,23,1,11,2019,12,2350000000000000.0,73,882.9,38,16421,1
235,23,1,11,2019,5,4590000000000000.0,42,24.78,21,4555,1
236,23,1,11,2019,11,2350000000000000.0,73,1001.51,38,16421,1
237,0,1,12,2019,2,582000000000.0,46,11.73,38,16314,1
238,1,1,12,2019,2,4.67e+18,45,7.04,29,68869,1
239,1,1,12,2019,4,2350000000000000.0,73,288.41,38,16421,1
240,2,1,12,2019,4,2350000000000000.0,73,298.99,38,16421,1
241,3,1,12,2019,4,4590000000000000.0,42,368.43,21,4555,1
242,3,1,12,2019,4,582000000000.0,46,328.68,38,16314,1
243,4,1,12,2019,2,345000000000000.0,33,71.08,9,33872,0
244,7,1,12,2019,4,38800000000000.0,47,303.58,34,12460,1
245,8,1,12,2019,11,4680000000000.0,47,98.61,18,70531,0
246,11,1,12,2019,4,630000000000.0,54,121.94,43,76857,0
247,12,1,12,2019,11,3520000000000000.0,29,1409.46,34,10463,0
248,15,1,12,2019,5,4640000000000000.0,32,14.52,44,84540,0
249,15,1,12,2019,12,4.67e+18,45,644.4,29,68869,1
250,15,1,12,2019,1,582000000000.0,46,120.58,38,16314,1
251,15,1,12,2019,11,30200000000000.0,42,8.11,43,75452,0
252,17,1,12,2019,9,4.65e+18,32,30.11,45,24340,0
253,19,1,12,2019,11,582000000000.0,46,1081.35,38,16314,1
254,20,1,12,2019,10,30600000000000.0,21,10.89,38,18103,0
255,22,1,12,2019,8,2350000000000000.0,73,843.44,38,16421,1
256,22,1,12,2019,7,4590000000000000.0,42,20.58,21,4555,1
257,22,1,12,2019,11,582000000000.0,46,776.7,38,16314,1
258,22,1,12,2019,8,2350000000000000.0,73,728.36,38,16421,1
259,22,1,12,2019,6,340000000000000.0,85,42.83,27,27249,0
260,23,1,12,2019,8,4.67e+18,45,784.77,29,68869,1
261,23,1,12,2019,6,4590000000000000.0,42,264.35,21,4555,1
262,23,1,12,2019,4,38800000000000.0,47,278.32,34,12460,1
263,23,1,12,2019,8,2350000000000000.0,73,696.76,38,16421,1
264,23,1,12,2019,1,2250000000000000.0,57,9.75,16,67584,0
265,23,1,12,2019,1,4590000000000000.0,42,119.72,21,4555,1
266,23,1,12,2019,8,38800000000000.0,47,741.88,34,12460,1
267,23,1,12,2019,11,4.67e+18,45,1116.8,29,68869,1
268,0,13,1,2019,4,4.67e+18,44,320.6,29,68869,1
269,0,13,1,2019,12,180000000000000.0,46,952.08,1,36617,1
270,1,13,1,2019,12,345000000000000.0,58,6.45,19,1330,0
271,1,13,1,2019,11,180000000000000.0,46,1060.34,1,36617,1
272,1,13,1,2019,12,571000000000.0,42,120.85,50,82514,0
273,1,13,1,2019,2,38800000000000.0,47,7.42,34,12460,1
274,1,13,1,2019,4,4.67e+18,44,276.8,29,68869,1
275,2,13,1,2019,4,4.67e+18,44,336.2,29,68869,1
276,2,13,1,2019,4,38800000000000.0,47,303.03,34,12460,1
277,7,13,1,2019,4,582000000000.0,45,308.84,38,16314,1
278,11,13,1,2019,2,4280000000000000.0,63,56.55,28,58651,0
279,13,13,1,2019,7,180000000000000.0,46,19.19,1,36617,1
280,17,13,1,2019,11,582000000000.0,45,1033.78,38,16314,1
281,21,13,1,2019,11,3540000000000000.0,63,994.92,4,95148,1
282,21,13,1,2019,6,3520000000000000.0,17,7.35,23,55606,0
283,22,13,1,2019,11,582000000000.0,45,859.46,38,16314,1
284,22,13,1,2019,11,38800000000000.0,47,919.17,34,12460,1
285,22,13,1,2019,11,4.67e+18,44,1062.95,29,68869,1
286,22,13,1,2019,12,4.67e+18,44,770.94,29,68869,1
287,22,13,1,2019,12,582000000000.0,45,728.77,38,16314,1
288,22,13,1,2019,7,180000000000000.0,46,25.27,1,36617,1
289,23,13,1,2019,8,3540000000000000.0,63,816.89,4,95148,1
290,23,13,1,2019,5,3570000000000000.0,51,17.73,29,68626,0
291,23,13,1,2019,7,180000000000000.0,46,23.18,1,36617,1
292,23,13,1,2019,5,4470000000000000.0,91,175.34,4,93529,0
293,23,13,1,2019,11,38800000000000.0,47,976.64,34,12460,1
294,23,13,1,2019,0,4.67e+18,44,510.59,29,68869,1
295,23,13,1,2019,4,3540000000000000.0,63,307.5,4,95148,1
296,23,13,1,2019,10,6520000000000000.0,60,4.98,25,39665,0
297,23,13,1,2019,0,4590000000000000.0,42,37.63,21,4555,0
298,23,13,1,2019,7,582000000000.0,45,20.96,38,16314,1
299,23,13,1,2019,6,180000000000000.0,46,224.94,1,36617,1
300,23,13,1,2019,8,3540000000000000.0,63,790.35,4,95148,1
301,23,13,1,2019,11,38800000000000.0,47,870.97,34,12460,1
302,23,13,1,2019,8,38800000000000.0,47,916.87,34,12460,1
303,23,13,1,2019,8,38800000000000.0,47,714.88,34,12460,1
304,23,13,1,2019,11,4.67e+18,44,1065.43,29,68869,1
305,0,14,1,2019,8,180000000000000.0,46,813.73,1,36617,1
306,0,14,1,2019,0,4790000000000000.0,30,417.97,34,11955,1
307,0,14,1,2019,4,3540000000000000.0,63,306.81,4,95148,1
308,0,14,1,2019,2,3540000000000000.0,63,12.57,4,95148,1
309,0,14,1,2019,4,4980000000000000.0,83,324.87,29,68881,1
310,0,14,1,2019,8,4430000000000000.0,79,21.84,5,81642,0
311,1,14,1,2019,4,4380000000000000.0,36,325.86,42,37754,1
312,1,14,1,2019,3,4980000000000000.0,83,16.44,29,68881,1
313,1,14,1,2019,4,3540000000000000.0,63,277.53,4,95148,1
314,2,14,1,2019,9,4790000000000000.0,30,8.56,34,11955,1
315,2,14,1,2019,4,4380000000000000.0,36,328.57,42,37754,1
316,2,14,1,2019,3,4980000000000000.0,83,13.2,29,68881,1
317,2,14,1,2019,4,180000000000000.0,46,377.28,1,36617,1
318,2,14,1,2019,9,180000000000000.0,46,7.24,1,36617,1
319,3,14,1,2019,9,4790000000000000.0,30,8.54,34,11955,1
320,3,14,1,2019,8,3600000000000000.0,25,801.35,27,28314,1
321,3,14,1,2019,0,4790000000000000.0,30,549.13,34,11955,1
322,3,14,1,2019,9,4810000000000.0,34,42.22,1,36869,0
323,3,14,1,2019,1,4790000000000000.0,30,96.57,34,11955,1
324,3,14,1,2019,8,3600000000000000.0,25,746.43,27,28314,1
325,4,14,1,2019,2,180000000000000.0,57,65.03,37,97492,0
326,5,14,1,2019,12,180000000000000.0,46,747.46,1,36617,1
327,5,14,1,2019,12,3580000000000000.0,52,7.72,2,71960,0
328,6,14,1,2019,2,30500000000000.0,45,70.49,40,29939,0
329,7,14,1,2019,4,3590000000000000.0,34,43.13,20,21750,0
330,7,14,1,2019,0,180000000000000.0,46,522.21,1,36617,1
331,8,14,1,2019,11,4.21e+18,53,5.15,37,97452,0
332,8,14,1,2019,3,4980000000000000.0,83,12.95,29,68881,1
333,9,14,1,2019,2,180000000000000.0,46,10.72,1,36617,1
334,9,14,1,2019,2,3540000000000000.0,63,8.25,4,95148,1
335,14,14,1,2019,12,4150000000000.0,41,1.11,1,35049,0
336,15,14,1,2019,5,4.54e+18,46,37.44,32,87533,0
337,16,14,1,2019,10,3550000000000000.0,19,148.1,25,38761,0
338,16,14,1,2019,12,4980000000000000.0,83,839.35,29,68881,1
339,17,14,1,2019,9,3570000000000000.0,20,8.53,34,12534,0
340,17,14,1,2019,7,4840000000000000.0,39,192.96,22,49854,0
341,18,14,1,2019,12,38600000000000.0,28,2.21,43,79842,0
342,18,14,1,2019,10,6530000000000000.0,20,101.23,46,5461,0
343,18,14,1,2019,13,6010000000000000.0,30,5.85,24,65072,0
344,19,14,1,2019,7,5560000000000000.0,73,8.09,4,96038,0
345,20,14,1,2019,6,4310000000000.0,58,12.7,24,63131,0
346,20,14,1,2019,10,4790000000000000.0,30,22.22,34,11955,1
347,21,14,1,2019,7,4.5e+18,92,62.49,2,72513,0
348,22,14,1,2019,5,4790000000000000.0,30,21.47,34,11955,1
349,22,14,1,2019,11,3600000000000000.0,25,1169.82,27,28314,1
350,22,14,1,2019,8,3600000000000000.0,25,690.81,27,28314,1
351,22,14,1,2019,12,3540000000000000.0,63,969.64,4,95148,1
352,22,14,1,2019,11,4380000000000000.0,36,896.28,42,37754,1
353,22,14,1,2019,6,180000000000000.0,46,249.87,1,36617,1
354,23,14,1,2019,11,4980000000000000.0,83,1034.21,29,68881,1
355,23,14,1,2019,1,4980000000000000.0,83,121.62,29,68881,1
356,23,14,1,2019,11,4380000000000000.0,36,964.77,42,37754,1
357,23,14,1,2019,10,4200000000000.0,47,12.7,12,51521,0
358,23,14,1,2019,13,180000000000000.0,46,10.2,1,36617,1
359,23,14,1,2019,7,3600000000000000.0,25,20.63,27,28314,1
360,23,14,1,2019,7,4790000000000000.0,30,22.91,34,11955,1
361,0,15,1,2019,2,3510000000000000.0,58,18.33,15,47863,1
362,0,15,1,2019,4,3600000000000000.0,25,297.74,27,28314,1
363,0,15,1,2019,12,4790000000000000.0,30,727.13,34,11955,1
364,0,15,1,2019,4,4380000000000000.0,36,310.15,42,37754,1
365,0,15,1,2019,1,4790000000000000.0,30,118.23,34,11955,1
366,0,15,1,2019,3,2380000000000000.0,62,10.7,21,4047,1
367,0,15,1,2019,4,3510000000000000.0,58,305.14,15,47863,1
368,1,15,1,2019,3,4980000000000000.0,83,15.05,29,68881,1
369,1,15,1,2019,3,3510000000000000.0,66,83.45,34,14425,0
370,1,15,1,2019,2,3510000000000000.0,58,19.36,15,47863,1
371,2,15,1,2019,4,3600000000000000.0,25,328.58,27,28314,1
372,2,15,1,2019,4,2380000000000000.0,62,326.68,21,4047,1
373,3,15,1,2019,4,3600000000000000.0,25,331.43,27,28314,1
374,3,15,1,2019,2,376000000000000.0,36,64.15,29,69165,0
375,5,15,1,2019,2,2290000000000000.0,50,71.87,40,29209,0
376,8,15,1,2019,4,4790000000000000.0,30,331.2,34,11955,1
377,9,15,1,2019,3,2380000000000000.0,62,15.25,21,4047,1
378,9,15,1,2019,8,3600000000000000.0,25,760.83,27,28314,1
379,12,15,1,2019,10,4430000000000.0,18,65.07,32,88355,0
380,13,15,1,2019,6,4.4e+18,38,47.88,29,68859,0
381,14,15,1,2019,11,2380000000000000.0,62,990.43,21,4047,1
382,15,15,1,2019,11,3510000000000000.0,58,905.28,15,47863,1
383,16,15,1,2019,11,213000000000000.0,21,1.53,48,54487,0
384,19,15,1,2019,7,4940000000000000.0,28,8.71,43,78584,0
385,20,15,1,2019,13,3530000000000000.0,32,6.64,38,17060,0
386,21,15,1,2019,0,4.91e+18,31,56.0,9,33040,0
387,21,15,1,2019,12,2380000000000000.0,62,936.13,21,4047,1
388,22,15,1,2019,1,5560000000000000.0,73,56.42,4,96038,0
389,22,15,1,2019,13,3600000000000000.0,25,10.29,27,28314,1
390,22,15,1,2019,4,2380000000000000.0,62,308.33,21,4047,1
391,22,15,1,2019,11,4380000000000000.0,36,1104.91,42,37754,1
392,22,15,1,2019,11,3600000000000000.0,25,925.74,27,28314,1
393,22,15,1,2019,8,4380000000000000.0,36,737.43,42,37754,1
394,22,15,1,2019,11,2380000000000000.0,62,860.8,21,4047,1
395,22,15,1,2019,8,4980000000000000.0,83,851.71,29,68881,1
396,22,15,1,2019,12,3510000000000000.0,58,752.47,15,47863,1
397,22,15,1,2019,12,2380000000000000.0,62,816.78,21,4047,1
398,23,15,1,2019,11,4980000000000000.0,83,1124.01,29,68881,1
399,23,15,1,2019,7,4790000000000000.0,30,19.52,34,11955,1
400,23,15,1,2019,6,30400000000000.0,36,113.21,36,74047,0
401,23,15,1,2019,8,2380000000000000.0,62,773.75,21,4047,1
402,23,15,1,2019,11,4980000000000000.0,83,1140.41,29,68881,1
